100个空调完整时间序列数据

"空调: AC_S_050 (small), 额定功率: 3.21kW, 温度范围: [20.3, 25.8]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.78,0.000,0.0
1.0,27.5,24.04,0.000,0.0
1.5,27.5,24.28,0.000,0.0
2.0,27.5,24.50,0.000,0.0
2.5,27.5,24.70,0.000,0.0
3.0,27.4,24.89,0.000,0.0
3.5,27.4,25.07,0.000,0.0
4.0,27.4,25.23,0.000,0.0
4.5,27.4,25.38,0.000,0.0
5.0,27.4,25.52,0.000,0.0
5.5,27.6,25.66,0.000,0.0
6.0,27.9,25.80,0.130,4.0
6.5,28.2,25.80,1.136,35.4
7.0,28.5,25.80,1.268,39.5
7.5,28.8,25.80,1.400,43.6
8.0,29.1,25.80,1.532,47.7
8.5,29.4,25.80,1.679,52.3
9.0,29.7,25.80,1.826,56.9
9.5,30.0,25.80,1.973,61.5
10.0,30.3,25.80,2.119,66.0
10.5,30.6,25.80,2.266,70.6
11.0,30.9,25.80,2.413,75.2
11.5,30.7,25.80,2.322,72.3
12.0,30.5,25.80,2.231,69.5
12.5,30.3,25.80,2.140,66.7
13.0,30.1,25.80,2.049,63.8
13.5,30.0,25.80,1.959,61.0
14.0,29.8,25.80,1.868,58.2
14.5,29.5,25.80,1.747,54.4
15.0,29.2,25.80,1.627,50.7
15.5,29.0,25.80,1.506,46.9
16.0,28.7,25.80,1.386,43.2
16.5,28.5,25.80,1.265,39.4
17.0,28.2,25.80,1.145,35.7
17.5,28.3,25.80,1.178,36.7
18.0,28.4,25.80,1.212,37.8
18.5,28.4,25.80,1.246,38.8
19.0,28.5,25.80,1.279,39.9
19.5,28.6,25.80,1.313,40.9
20.0,28.7,25.80,1.347,41.9
20.5,28.6,25.80,1.324,41.2
21.0,28.6,25.80,1.301,40.5
21.5,28.5,25.80,1.278,39.8
22.0,28.5,25.80,1.256,39.1
22.5,28.4,25.80,1.233,38.4
23.0,28.4,25.80,1.210,37.7
23.5,28.3,25.80,1.200,37.4
24.0,28.3,25.80,1.200,37.4

"空调: AC_M_028 (medium), 额定功率: 4.37kW, 温度范围: [20.6, 24.1]°C, 状态: success"
时间(h),室外温度(°C),室内温度(°C),空调功率(kW),功率占比(%)
0.5,27.6,23.72,0.000,0.0
