100个空调功率矩阵
"系统参数: T=48, delta_t=0.5h, 初始温度=23.5°C"

空调ID,空调类型,额定功率(kW),状态,t1(0.5h),t2(1.0h),t3(1.5h),t4(2.0h),t5(2.5h),t6(3.0h),t7(3.5h),t8(4.0h),t9(4.5h),t10(5.0h),t11(5.5h),t12(6.0h),t13(6.5h),t14(7.0h),t15(7.5h),t16(8.0h),t17(8.5h),t18(9.0h),t19(9.5h),t20(10.0h),t21(10.5h),t22(11.0h),t23(11.5h),t24(12.0h),t25(12.5h),t26(13.0h),t27(13.5h),t28(14.0h),t29(14.5h),t30(15.0h),t31(15.5h),t32(16.0h),t33(16.5h),t34(17.0h),t35(17.5h),t36(18.0h),t37(18.5h),t38(19.0h),t39(19.5h),t40(20.0h),t41(20.5h),t42(21.0h),t43(21.5h),t44(22.0h),t45(22.5h),t46(23.0h),t47(23.5h),t48(24.0h)
AC_S_050,small,3.21,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.130,1.136,1.268,1.400,1.532,1.679,1.826,1.973,2.119,2.266,2.413,2.322,2.231,2.140,2.049,1.959,1.868,1.747,1.627,1.506,1.386,1.265,1.145,1.178,1.212,1.246,1.279,1.313,1.347,1.324,1.301,1.278,1.256,1.233,1.210,1.200,1.200
AC_M_028,medium,4.37,success,0.000,0.000,0.355,2.264,2.252,2.240,2.229,2.217,2.205,2.193,2.381,2.570,2.758,2.947,3.135,3.323,3.532,3.741,4.065,4.370,4.370,4.370,4.370,4.318,4.189,4.059,3.930,3.801,3.629,3.458,3.286,3.114,2.943,2.771,2.819,2.867,2.915,2.963,3.011,3.058,3.026,2.994,2.961,2.929,2.897,2.864,2.850,2.850
AC_S_001,small,2.59,success,0.000,0.000,0.757,1.444,1.436,1.429,1.421,1.414,1.406,1.399,1.519,1.639,1.759,1.879,2.525,2.590,2.590,2.590,2.590,2.590,2.590,2.590,2.590,2.590,2.590,2.589,2.506,2.424,2.315,2.205,2.096,1.986,1.877,1.767,1.798,1.829,1.859,1.890,1.920,1.951,1.930,1.909,1.889,1.868,1.848,1.827,1.817,1.817
AC_M_014,medium,4.24,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.290,2.427,2.662,2.896,3.130,3.705,4.240,4.240,4.240,4.240,4.240,4.240,4.240,4.206,4.045,3.884,3.723,3.510,3.297,3.083,2.870,2.657,2.444,2.503,2.563,2.622,2.682,2.741,2.801,2.760,2.720,2.680,2.640,2.600,2.560,2.541,2.541
AC_M_015,medium,4.54,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.970,1.526,1.687,1.847,2.008,2.168,2.329,2.489,2.667,2.845,3.023,3.202,3.380,3.558,3.447,3.337,3.227,3.117,3.007,2.896,2.750,2.604,2.458,2.311,2.165,2.019,2.060,2.100,2.141,2.182,2.223,2.264,2.236,2.209,2.181,2.153,2.126,2.098,2.086,2.086
AC_L_010,large,19.38,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.749,1.202,1.270,1.337,1.404,1.471,1.429,1.388,1.346,1.305,1.263,1.222,1.166,1.111,1.056,1.001,0.946,0.891,0.906,0.921,0.937,0.952,0.968,0.983,0.973,0.962,0.952,0.941,0.931,0.921,0.916,0.916
AC_S_029,small,2.71,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.886,1.222,1.345,1.467,1.589,1.724,1.860,1.995,2.131,2.266,2.401,2.318,2.234,2.150,2.066,1.982,1.898,1.787,1.676,1.565,1.453,1.342,1.231,1.262,1.293,1.324,1.355,1.386,1.417,1.396,1.375,1.354,1.333,1.312,1.291,1.282,1.282
AC_M_016,medium,4.87,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.079,2.155,2.142,2.359,2.576,2.793,3.011,3.228,3.445,3.686,3.927,4.168,4.408,4.670,4.870,4.741,4.592,4.443,4.294,4.145,3.995,3.798,3.600,3.402,3.204,3.006,2.808,2.864,2.919,2.974,3.029,3.084,3.140,3.102,3.065,3.028,2.991,2.953,2.916,2.899,2.899
AC_S_059,small,3.49,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.099,1.028,1.169,1.310,1.451,1.592,1.733,1.889,2.045,2.202,2.358,2.514,2.670,2.574,2.477,2.380,2.283,2.187,2.090,1.962,1.833,1.705,1.577,1.448,1.320,1.356,1.391,1.427,1.463,1.499,1.535,1.511,1.486,1.462,1.438,1.414,1.390,1.378,1.378
AC_S_053,small,2.60,success,0.000,0.000,0.000,0.000,0.474,1.490,1.481,2.427,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.600,2.539,2.409,2.280,2.150,2.021,1.891,1.927,1.963,1.999,2.036,2.072,2.108,2.084,2.059,2.035,2.010,1.986,1.961,1.950,1.950
