24小时空调功率需求数据
================================================================================
时间(h),室外温度(°C),室内温度(°C),目标温度(°C),所需功率(kW),功率占比(%),温度变化(°C)
0.0,27.8,23.75,23.5,0.00,0.0,+0.25
0.5,27.5,23.97,23.5,0.00,0.0,+0.22
1.0,27.2,24.16,23.5,0.00,0.0,+0.19
1.5,27.0,24.32,23.5,0.00,0.0,+0.17
2.0,26.8,24.46,23.5,0.00,0.0,+0.14
2.5,26.5,24.58,23.5,0.00,0.0,+0.12
3.0,26.2,24.68,23.5,0.00,0.0,+0.10
3.5,26.0,24.76,23.5,0.00,0.0,+0.08
4.0,26.2,24.84,23.5,0.00,0.0,+0.09
4.5,26.5,24.94,23.5,0.00,0.0,+0.10
5.0,26.8,25.00,23.5,0.43,8.7,+0.06
5.5,27.0,25.00,23.5,1.11,22.2,+0.00
6.0,27.5,25.00,23.5,1.39,27.8,+0.00
6.5,28.0,25.00,23.5,1.67,33.3,+0.00
7.0,28.5,25.00,23.5,1.94,38.9,+0.00
7.5,29.0,25.00,23.5,2.22,44.4,+0.00
8.0,29.5,24.80,23.5,4.39,87.8,-0.20
8.5,30.0,24.58,23.5,5.00,100.0,-0.22
9.0,30.5,24.40,23.5,5.00,100.0,-0.18
9.5,31.0,24.26,23.5,5.00,100.0,-0.14
10.0,31.5,24.16,23.5,5.00,100.0,-0.10
10.5,32.0,24.09,23.5,5.00,100.0,-0.07
11.0,32.5,24.06,23.5,5.00,100.0,-0.03
11.5,33.0,24.05,23.5,5.00,100.0,-0.00
12.0,33.5,24.08,23.5,5.00,100.0,+0.03
12.5,34.0,24.13,23.5,5.00,100.0,+0.05
13.0,34.5,24.21,23.5,5.00,100.0,+0.08
13.5,35.0,24.32,23.5,5.00,100.0,+0.10
14.0,35.5,24.44,23.5,5.00,100.0,+0.13
14.5,36.0,24.59,23.5,5.00,100.0,+0.15
15.0,35.8,24.72,23.5,5.00,100.0,+0.13
15.5,35.5,24.82,23.5,5.00,100.0,+0.10
16.0,35.2,24.91,23.5,5.00,100.0,+0.08
16.5,35.0,24.97,23.5,5.00,100.0,+0.06
17.0,34.5,25.00,23.5,5.00,100.0,+0.03
17.5,34.0,25.00,23.5,5.00,100.0,+0.00
18.0,33.5,25.00,23.5,4.72,94.4,+0.00
18.5,33.0,25.00,23.5,4.44,88.9,+0.00
19.0,32.5,25.00,23.5,4.17,83.3,+0.00
19.5,32.0,25.00,23.5,3.89,77.8,+0.00
20.0,31.5,25.00,23.5,3.61,72.2,+0.00
20.5,31.0,25.00,23.5,3.33,66.7,+0.00
21.0,30.5,25.00,23.5,3.06,61.1,+0.00
21.5,30.0,25.00,23.5,2.78,55.6,+0.00
22.0,29.5,25.00,23.5,2.50,50.0,+0.00
22.5,29.0,25.00,23.5,2.22,44.4,+0.00
23.0,28.8,25.00,23.5,2.08,41.7,+0.00
23.5,28.5,25.00,23.5,1.94,38.9,+0.00
