空调ID,空调类型,日期,状态,总能耗(kWh),平均功率(kW),最大功率(kW),额定功率(kW),温度范围(°C)
AC_L_010,large,2021/6/1,success,1.166968342925,0.04862368095520833,0.2014968,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/10,success,5.01657053,0.20902377208333334,0.52912291,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/11,success,4.784752095,0.199364670625,0.48638132,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/12,success,1.314684663,0.054778527625,0.14332976,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/13,success,3.5068601815,0.14611917422916668,0.31474365,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/14,success,4.8484020015,0.2020167500625,0.37773714,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/15,success,4.59987280675,0.19166136694791666,0.41958361,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/16,success,6.85305735,0.28554405625,0.48604566,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/17,success,6.800676425,0.28336151770833334,0.58859189,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/18,success,7.29571179,0.30398799125000003,0.54808809,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/19,success,8.117982785,0.3382492827083334,0.7065788,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/2,success,2.59319113064,0.10804963044333334,0.33465989,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/20,success,8.20554842,0.3418978508333333,0.67871845,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/21,success,6.90351827,0.28764659458333336,0.53533274,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/22,success,1.5394784712,0.0641449363,0.27172235,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/23,success,0.34439213,0.014349672083333334,0.18965179,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/24,success,0.0,0.0,0.0,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/25,success,1.5292611759999999,0.06371921566666666,0.16128794,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/26,success,3.181498405,0.13256243354166666,0.28934486,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/27,success,4.848804888,0.202033537,0.36436641,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/28,success,1.92163208135,0.08006800338958334,0.28665952,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/29,success,4.243110975,0.176796290625,0.30948487,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/3,success,5.91517789,0.24646574541666666,0.48593377,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/30,success,5.693902295,0.23724592895833332,0.41096816,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/4,success,2.491365791,0.10380690795833335,0.29471553,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/5,success,2.1380500491,0.08908541871249999,0.35916357,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/6,success,3.883910068,0.16182958616666668,0.51122067,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/7,success,4.6584954465,0.1941039769375,0.58137505,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/8,success,4.4374580005,0.18489408335416668,0.4044786,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/6/9,success,2.9420118795,0.12258382831249999,0.30847787,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/1,success,6.343773255,0.26432388562500003,0.43334595,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/10,success,4.978115945,0.20742149770833332,0.47228331,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/11,success,4.5790059055,0.19079191272916665,0.33264589,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/12,success,6.601494235,0.27506225979166665,0.53874536,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/13,success,7.16712868,0.2986303616666667,0.53538869,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/14,success,6.256159674,0.26067331975,0.58708139,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/15,success,6.97191336,0.29049639,0.52196201,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/16,success,4.548556325,0.18952318020833334,0.32145699,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/17,success,3.989386505,0.16622443770833334,0.38500992,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/18,success,3.2673013085,0.13613755452083334,0.34070189,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/19,success,0.4773487865,0.019889532770833333,0.15172143,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/2,success,7.08976776,0.29540699,0.47798965,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/20,success,0.0,0.0,0.0,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/21,success,0.72291357,0.03012139875,0.1064064,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/22,success,4.3617547199999995,0.18173978,0.41376539,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/23,success,7.08959321,0.29539971708333335,0.65421477,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/24,success,5.98653219,0.24943884125000002,0.51161228,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/25,success,4.756155555,0.198173148125,0.53203202,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/26,success,6.83586375,0.28482765625,0.5515007,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/27,success,7.389712985,0.30790470770833334,0.66260644,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/28,success,6.308270556,0.2628446065,0.55519304,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/29,success,5.178410252,0.21576709383333334,0.37359725,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/3,success,6.207828655,0.2586595272916667,0.44201735,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/30,success,3.7627442515,0.15678101047916668,0.31519121,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/31,success,5.260737895,0.21919741229166667,0.46254897,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/4,success,6.24338461,0.26014102541666667,0.51178012,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/5,success,5.1927403885,0.21636418285416667,0.504843,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/6,success,5.181470285,0.21589459520833332,0.47832532,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/7,success,3.8928951855,0.1622039660625,0.36252024,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/8,success,5.811905375,0.24216272395833335,0.508871,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/7/9,success,5.902656065,0.24594400270833336,0.51726268,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/8/1,success,5.633437925,0.23472658020833334,0.5504937,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/8/10,success,3.366853065,0.140285544375,0.30377854,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/8/11,success,4.44905863,0.18537744291666666,0.37426858,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/8/12,success,4.637436623,0.19322652595833334,0.42931795,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/8/13,success,3.196959635,0.13320665145833332,0.27524685,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/8/14,success,2.752704065,0.11469600270833334,0.23754027,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/8/15,success,2.542395905,0.10593316270833332,0.28531686,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/8/16,success,3.6293916805,0.15122465335416665,0.43603129,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/8/17,success,4.966412241,0.20693384337499998,0.47329031,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/8/18,success,4.49095015,0.18712292291666666,0.44320596,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/8/19,success,3.376305475,0.14067939479166666,0.2995827,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/8/2,success,5.440507235,0.22668780145833334,0.4166745,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/8/20,success,4.828126075,0.20117191979166668,0.44542996,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/8/21,success,5.29802382,0.2207509925,0.46422731,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/8/22,success,5.874046493,0.24475193720833333,0.49947233,19.38,"[20.0, 24.1]"
AC_L_010,large,2021/8/23,success,6.26811167,0.26117131958333334,0.55972454,19.38,"[20.0, 24.1]"
