AC_M_005 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_M_005 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.55,0.000,0.0
1.5,23.78,0.000,0.0
2.0,24.02,0.292,6.4
2.5,24.20,0.953,21.0
3.0,24.20,0.993,21.9
3.5,24.20,1.033,22.8
4.0,24.20,1.073,23.6
4.5,24.20,1.113,24.5
5.0,24.20,1.153,25.4
5.5,24.20,1.018,22.4
6.0,24.20,0.882,19.4
6.5,24.20,0.746,16.4
7.0,24.20,0.611,13.5
7.5,24.20,0.475,10.5
8.0,24.20,0.340,7.5
8.5,24.20,0.268,5.9
9.0,24.20,0.196,4.3
9.5,24.20,0.125,2.7
10.0,24.20,0.053,1.2
10.5,24.20,0.000,0.0
11.0,24.19,0.052,1.2
11.5,24.20,0.084,1.8
12.0,24.20,0.000,0.0
12.5,24.18,0.000,0.0
13.0,24.15,0.000,0.0
13.5,24.12,0.000,0.0
14.0,24.09,0.000,0.0
14.5,24.05,0.000,0.0
15.0,24.02,0.000,0.0
15.5,23.98,0.000,0.0
16.0,23.96,0.000,0.0
16.5,24.00,0.000,0.0
17.0,24.05,0.000,0.0
17.5,24.11,0.000,0.0
18.0,24.18,0.239,5.3
18.5,24.20,0.347,7.7
19.0,24.20,0.397,8.8
19.5,24.20,0.368,8.1
20.0,24.20,0.338,7.5
20.5,24.20,0.309,6.8
21.0,24.20,0.279,6.1
21.5,24.20,0.250,5.5
22.0,24.20,0.220,4.8
22.5,24.20,0.336,7.4
23.0,24.20,0.451,9.9
23.5,24.20,0.567,12.5
24.0,24.20,0.567,12.5

"日期: 2021/6/10, 空调: AC_M_005 (medium), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.67,0.000,0.0
1.5,23.92,0.000,0.0
2.0,24.17,0.813,17.9
2.5,24.20,1.044,23.0
3.0,24.20,1.169,25.7
3.5,24.20,1.294,28.5
4.0,24.20,1.419,31.3
4.5,24.20,1.545,34.0
5.0,24.20,1.670,36.8
5.5,24.20,1.652,36.4
6.0,24.20,1.634,36.0
6.5,24.20,1.616,35.6
7.0,24.20,1.597,35.2
7.5,24.20,1.579,34.8
8.0,24.20,1.561,34.4
8.5,24.20,1.434,31.6
9.0,24.20,1.307,28.8
9.5,24.20,1.179,26.0
