空调ID,空调类型,日期,状态,总能耗(kWh),平均功率(kW),最大功率(kW),额定功率(kW),温度范围(°C)
AC_M_007,medium,2021/6/1,success,3.309919877,0.13791332820833332,0.99582796,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/10,success,14.506643395,0.6044434747916666,1.4907304,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/11,success,13.7651626745,0.5735484447708333,1.3281052,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/12,success,3.571779158,0.14882413158333332,0.62674253,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/13,success,9.980561223,0.41585671762500004,0.8924305,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/14,success,13.961026945,0.5817094560416667,1.0269476,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/15,success,13.231163925,0.551298496875,1.1283373,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/16,success,19.93747364,0.8307280683333333,1.3271014,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/17,success,19.800542095,0.8250225872916667,1.7045523,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/18,success,21.24677982,0.8852824925,1.5143211,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/19,success,23.701743522,0.98757264675,1.9866366,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/2,success,7.432022635,0.3096676097916667,0.86482438,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/20,success,23.97673332,0.999030555,1.9033163,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/21,success,20.06535415,0.8360564229166667,1.5282078,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/22,success,4.553800394,0.1897416830833333,0.69667803,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/23,success,0.826317443,0.03442989345833333,0.44069403,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/24,success,0.0,0.0,0.0,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/25,success,4.1883422975,0.17451426239583334,0.65150438,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/26,success,9.034000265,0.3764166777083333,0.7388401,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/27,success,13.93313815,0.5805474229166666,0.96320255,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/28,success,5.9069856095,0.24612440039583336,0.73080923,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/29,success,12.11038341,0.50459930875,0.79907163,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/3,success,17.168571305,0.7153571377083333,1.3672557,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/30,success,16.47387455,0.6864114395833334,1.1333566,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/4,success,6.9478428150000004,0.28949345062500004,0.75490184,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/5,success,6.0495561094,0.25206483789166667,0.94764274,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/6,success,11.141679989,0.4642366662083333,1.4023908,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/7,success,13.4014397576,0.5583933232333333,1.6121973,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/8,success,12.719719155,0.529988298125,1.3411554,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/6/9,success,8.2423355495,0.34343064789583333,0.79606005,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/1,success,18.40362412,0.7668176716666667,1.2723911,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/10,success,14.352024785,0.5980010327083333,1.2859432,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/11,success,13.156475525,0.5481864802083333,0.86833789,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/12,success,19.18608396,0.799420165,1.4847072,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/13,success,20.867622175,0.8694842572916667,1.4746686,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/14,success,18.15245557,0.7563523154166667,1.6292629,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/15,success,20.290134135,0.845422255625,1.4345143,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/16,success,13.07236093,0.5446817054166667,0.93660029,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/17,success,11.394751165,0.4747812985416667,1.0249399,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/18,success,9.274623808,0.38644265866666666,1.09521,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/19,success,1.07644733,0.04485197208333333,0.32725798,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/2,success,20.62762639,0.8594844329166667,1.3030088,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/20,success,0.0,0.0,0.0,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/21,success,1.8117248635,0.07548853597916667,0.38722121,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/22,success,12.531997495,0.5221665622916667,1.2116576,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/23,success,20.658819095,0.8607841289583332,1.8300347,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/24,success,17.35050362,0.7229376508333334,1.4304988,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/25,success,13.7083398695,0.5711808278958334,1.46463,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/26,success,19.88361833,0.8284840970833334,1.5228539,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/27,success,21.538747285,0.8974478035416666,1.8551311,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/28,success,18.31371565,0.7630714854166666,1.5338963,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/29,success,14.92711667,0.6219631945833334,0.99080867,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/3,success,18.003401020000002,0.7501417091666668,1.2237039,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/30,success,10.77671037,0.44902959875,0.81613723,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/31,success,15.173023485,0.632209311875,1.272893,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/4,success,18.12777799,0.7553240829166666,1.4565992,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/5,success,15.021656485,0.6259023535416667,1.3833175,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/6,success,14.9384666,0.6224361083333333,1.3040126,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/7,success,11.131711255,0.4638213022916667,0.95768133,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/8,success,16.827767455,0.7011569772916667,1.3953638,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/7/9,success,17.136186145,0.7140077560416667,1.4204602,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/1,success,16.28322024,0.6784675099999999,1.5198423,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/10,success,9.5939271315,0.39974696381249997,0.78200603,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/11,success,12.790804080000001,0.53295017,1.0751328,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/12,success,13.331792995,0.5554913747916667,1.2166769,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/13,success,9.116827955,0.3798678314583333,0.70169732,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/14,success,7.769608425,0.323733684375,0.68965102,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/15,success,7.115831334,0.29649297225,0.96370448,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/16,success,10.415034785,0.4339597827083333,1.1775264,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/17,success,14.3229466995,0.5967894458124999,1.2889547,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/18,success,12.883307585,0.5368044827083334,1.3200744,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/19,success,9.55345931,0.3980608045833333,0.7694578,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/2,success,15.731453395,0.6554772247916667,1.1363682,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/20,success,13.931853425,0.5804938927083333,1.2488004,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/21,success,15.311603605,0.6379834835416667,1.2618506,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/22,success,17.036797357,0.7098665565416667,1.3672557,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/23,success,18.215512255,0.7589796772916667,1.6121973,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/24,success,15.91895297345,0.6632897072270834,1.0420055,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/25,success,15.71518809,0.65479950375,1.2207506,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/26,success,14.98713869,0.6244641120833333,1.1815418,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/27,success,1.15710772,0.04821282166666666,0.55613779,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/28,success,3.27634368,0.13651432,0.73482467,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/29,success,7.4833022185,0.3118042591041667,0.98478552,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/3,success,9.430057655,0.39291906895833334,0.70169732,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/30,success,11.530378775,0.48043244895833337,1.2683756,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/31,success,4.7012748,0.19588645000000002,0.56718024,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/4,success,9.910597,0.41294154166666663,1.0269476,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/5,success,8.222649733499999,0.34261040556249994,0.61904628,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/6,success,10.03049726,0.41793738583333334,1.1654801,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/7,success,14.60138574,0.6083910725,1.1072563,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/8,success,10.79492255,0.44978843958333337,1.1704994,4.07,"[21.7, 24.8]"
AC_M_007,medium,2021/8/9,success,11.25180856,0.4688253566666667,1.3160589,4.07,"[21.7, 24.8]"
