AC_M_030 多天功率矩阵
"空调参数: P_rated=3.75kW, T_range=[21.3, 24.3]°C"

日期,状态,t1(0.5h),t2(1.0h),t3(1.5h),t4(2.0h),t5(2.5h),t6(3.0h),t7(3.5h),t8(4.0h),t9(4.5h),t10(5.0h),t11(5.5h),t12(6.0h),t13(6.5h),t14(7.0h),t15(7.5h),t16(8.0h),t17(8.5h),t18(9.0h),t19(9.5h),t20(10.0h),t21(10.5h),t22(11.0h),t23(11.5h),t24(12.0h),t25(12.5h),t26(13.0h),t27(13.5h),t28(14.0h),t29(14.5h),t30(15.0h),t31(15.5h),t32(16.0h),t33(16.5h),t34(17.0h),t35(17.5h),t36(18.0h),t37(18.5h),t38(19.0h),t39(19.5h),t40(20.0h),t41(20.5h),t42(21.0h),t43(21.5h),t44(22.0h),t45(22.5h),t46(23.0h),t47(23.5h),t48(24.0h)
2021/6/1,success,0.000,0.000,0.000,0.000,0.376,1.118,1.164,1.210,1.256,1.302,1.146,0.991,0.835,0.679,0.524,0.368,0.286,0.204,0.122,0.039,0.000,0.018,0.074,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.377,0.434,0.401,0.367,0.333,0.299,0.265,0.231,0.364,0.496,0.629,0.629
2021/6/10,success,0.000,0.000,0.000,0.000,1.066,1.320,1.464,1.608,1.751,1.895,1.874,1.854,1.833,1.812,1.791,1.770,1.624,1.478,1.332,1.186,1.040,0.511,0.508,0.894,0.869,0.844,0.819,0.794,0.769,0.744,0.699,0.505,0.495,0.484,0.473,0.462,0.451,0.440,0.472,0.503,0.535,0.566,0.598,0.629,0.697,0.764,0.831,0.831
2021/6/11,success,0.000,0.000,0.000,1.310,1.618,1.622,1.626,1.630,1.634,1.638,1.648,1.659,1.669,1.679,1.690,1.700,1.562,1.423,1.285,1.146,1.007,0.566,0.521,0.869,0.809,0.749,0.689,0.629,0.569,0.509,0.498,0.477,0.431,0.385,0.339,0.294,0.248,0.202,0.253,0.303,0.354,0.404,0.455,0.505,0.690,0.875,1.060,1.060
2021/6/12,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.374,0.801,0.898,0.890,0.882,0.875,0.867,0.860,0.852,0.727,0.602,0.477,0.352,0.227,0.466,0.455,0.102,0.164,0.225,0.286,0.348,0.409,0.470,0.420,0.444,0.395,0.347,0.298,0.250,0.201,0.153,0.159,0.164,0.170,0.176,0.182,0.188,0.209,0.231,0.252,0.252
2021/6/13,success,0.000,0.000,0.000,0.000,1.042,1.128,1.141,1.153,1.166,1.178,1.155,1.132,1.108,1.085,1.062,1.038,1.014,0.990,0.965,0.941,0.916,0.270,0.220,0.892,0.846,0.800,0.754,0.709,0.663,0.617,0.661,0.170,0.193,0.216,0.239,0.263,0.286,0.309,0.376,0.442,0.509,0.576,0.642,0.709,0.775,0.840,0.906,0.906
2021/6/14,success,0.000,0.000,0.000,0.692,1.242,1.261,1.281,1.300,1.320,1.339,1.325,1.311,1.297,1.282,1.268,1.254,1.159,1.065,0.970,0.875,0.781,0.792,0.836,0.686,0.689,0.692,0.694,0.697,0.700,0.703,0.678,0.880,0.842,0.803,0.765,0.727,0.689,0.651,0.699,0.748,0.796,0.844,0.893,0.941,0.988,1.035,1.082,1.082
2021/6/15,success,0.000,0.000,0.000,0.127,1.025,1.006,0.987,0.969,0.950,0.931,1.020,1.108,1.196,1.284,1.373,1.461,1.374,1.288,1.202,1.115,1.029,0.606,0.581,0.942,0.934,0.925,0.917,0.909,0.900,0.892,0.884,0.557,0.577,0.598,0.618,0.638,0.658,0.679,0.712,0.744,0.777,0.810,0.843,0.876,0.904,0.932,0.960,0.960
2021/6/16,success,0.000,0.000,0.054,1.427,1.460,1.492,1.525,1.557,1.590,1.622,1.635,1.648,1.661,1.673,1.686,1.699,1.615,1.532,1.448,1.365,1.281,0.860,0.852,1.197,1.167,1.138,1.108,1.078,1.048,1.018,0.976,0.844,0.855,0.867,0.878,0.890,0.902,0.913,0.986,1.059,1.131,1.204,1.276,1.349,1.362,1.375,1.388,1.388
2021/6/17,success,0.000,0.000,0.000,0.938,1.373,1.529,1.685,1.840,1.996,2.152,2.067,1.982,1.897,1.812,1.727,1.643,1.553,1.463,1.373,1.283,1.193,0.850,0.808,1.103,1.076,1.048,1.020,0.992,0.964,0.936,0.923,0.767,0.795,0.823,0.851,0.879,0.907,0.935,0.983,1.032,1.080,1.128,1.177,1.225,1.224,1.223,1.221,1.221
2021/6/18,success,0.000,0.000,0.794,1.927,1.926,1.925,1.924,1.923,1.922,1.921,1.838,1.755,1.673,1.590,1.507,1.425,1.381,1.336,1.292,1.248,1.204,0.884,0.871,1.160,1.162,1.165,1.167,1.170,1.172,1.174,1.173,0.858,0.854,0.850,0.846,0.842,0.838,0.834,0.913,0.991,1.070,1.148,1.227,1.306,1.409,1.513,1.616,1.616
2021/6/19,success,0.000,0.000,0.965,1.900,1.998,2.097,2.195,2.293,2.391,2.490,2.352,2.215,2.077,1.939,1.802,1.664,1.600,1.536,1.472,1.408,1.344,1.170,1.168,1.280,1.230,1.179,1.129,1.078,1.028,0.977,0.956,1.167,1.112,1.057,1.002,0.947,0.892,0.838,0.902,0.966,1.030,1.094,1.158,1.223,1.335,1.448,1.561,1.561
2021/6/2,success,0.000,0.000,0.000,0.000,0.000,0.618,0.911,0.929,0.946,0.964,0.985,1.005,1.026,1.046,1.067,1.088,1.099,1.111,1.122,1.134,1.145,0.000,0.000,1.119,1.096,1.035,0.974,0.913,0.853,0.792,0.789,0.045,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.060,0.229,0.295,0.389,0.483,0.576,0.576
2021/6/20,success,0.000,0.000,0.544,1.751,1.857,1.964,2.070,2.177,2.283,2.390,2.271,2.152,2.032,1.913,1.794,1.675,1.634,1.592,1.551,1.510,1.468,0.893,0.872,1.427,1.409,1.391,1.372,1.354,1.336,1.318,1.279,0.851,0.882,0.913,0.943,0.974,1.005,1.036,1.079,1.121,1.164,1.206,1.249,1.291,1.368,1.444,1.521,1.521
2021/6/21,success,0.000,0.000,1.089,1.983,1.962,1.940,1.919,1.897,1.876,1.854,1.670,1.485,1.301,1.116,0.932,0.747,0.796,0.844,0.892,0.941,0.989,1.161,1.122,1.037,1.030,1.023,1.016,1.008,1.001,0.994,0.981,1.083,1.101,1.118,1.136,1.154,1.171,1.189,1.186,1.182,1.179,1.176,1.173,1.170,1.305,1.441,1.576,1.576
2021/6/22,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.653,0.802,0.819,0.836,0.854,0.871,0.888,0.757,0.627,0.496,0.365,0.234,0.943,0.931,0.103,0.058,0.013,0.000,0.000,0.000,0.000,0.000,0.454,0.920,0.921,0.922,0.924,0.925,0.927,0.776,0.626,0.475,0.325,0.174,0.024,0.020,0.017,0.013,0.013
2021/6/23,success,0.000,0.000,0.000,0.000,0.000,0.435,0.693,0.646,0.599,0.552,0.466,0.379,0.292,0.206,0.119,0.032,0.018,0.004,0.000,0.000,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.222,0.247,0.279,0.311,0.344,0.376,0.408,0.440,0.506,0.571,0.637,0.637
2021/6/24,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.046,0.258,0.272,0.286,0.300,0.314,0.092,0.168,0.329,0.279,0.229,0.179,0.129,0.079,0.029,0.004,0.244,0.184,0.123,0.062,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.034,0.034
2021/6/25,success,0.000,0.000,0.000,0.000,0.000,0.000,0.859,0.926,0.989,1.052,0.970,0.889,0.808,0.727,0.646,0.564,0.555,0.545,0.535,0.525,0.515,0.000,0.000,0.346,0.503,0.501,0.499,0.497,0.495,0.493,0.512,0.000,0.000,0.000,0.000,0.111,0.229,0.300,0.289,0.278,0.267,0.256,0.244,0.233,0.307,0.381,0.454,0.454
2021/6/26,success,0.000,0.000,0.000,0.000,0.173,0.863,0.890,0.918,0.945,0.972,0.976,0.980,0.983,0.987,0.990,0.994,0.973,0.952,0.931,0.910,0.889,0.569,0.588,0.868,0.823,0.779,0.734,0.690,0.645,0.600,0.611,0.606,0.564,0.522,0.480,0.437,0.395,0.353,0.374,0.395,0.416,0.437,0.458,0.479,0.534,0.589,0.644,0.644
2021/6/27,success,0.000,0.000,0.000,1.412,1.432,1.305,1.179,1.052,0.926,0.799,0.818,0.837,0.856,0.875,0.894,0.913,0.897,0.880,0.863,0.847,0.830,0.644,0.655,0.813,0.842,0.870,0.898,0.926,0.954,0.982,0.982,0.665,0.722,0.778,0.835,0.891,0.947,1.004,0.998,0.992,0.986,0.980,0.973,0.967,1.066,1.164,1.263,1.263
2021/6/28,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.024,0.657,0.671,0.685,0.698,0.712,0.726,0.725,0.725,0.725,0.725,0.725,0.984,0.984,0.724,0.752,0.780,0.808,0.836,0.864,0.892,0.886,0.984,0.878,0.771,0.664,0.558,0.451,0.344,0.270,0.195,0.120,0.046,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/29,success,0.000,0.000,0.000,0.640,1.002,0.858,0.714,0.570,0.426,0.282,0.412,0.543,0.673,0.804,0.934,1.065,1.009,0.953,0.898,0.842,0.786,0.871,0.866,0.730,0.760,0.789,0.819,0.848,0.878,0.907,0.890,0.860,0.874,0.888,0.901,0.915,0.929,0.942,0.950,0.957,0.964,0.972,0.979,0.987,1.013,1.040,1.066,1.066
2021/6/3,success,0.000,0.000,0.000,0.370,1.161,1.278,1.395,1.513,1.630,1.747,1.723,1.699,1.674,1.650,1.626,1.602,1.519,1.437,1.354,1.272,1.189,0.779,0.776,1.107,1.076,1.045,1.014,0.983,0.952,0.921,0.916,0.773,0.753,0.734,0.715,0.696,0.677,0.658,0.734,0.810,0.886,0.961,1.037,1.113,1.101,1.090,1.078,1.078
2021/6/30,success,0.000,0.000,0.000,1.348,1.454,1.456,1.459,1.462,1.464,1.467,1.430,1.393,1.356,1.319,1.282,1.245,1.225,1.205,1.185,1.164,1.144,0.838,0.821,1.124,1.105,1.086,1.067,1.048,1.030,1.011,0.969,0.804,0.776,0.748,0.720,0.692,0.663,0.635,0.691,0.746,0.801,0.856,0.911,0.966,1.047,1.128,1.209,1.209
