AC_S_007 多天功率矩阵
"空调参数: P_rated=3.41kW, T_range=[20.4, 25.4]°C"

日期,状态,t1(0.5h),t2(1.0h),t3(1.5h),t4(2.0h),t5(2.5h),t6(3.0h),t7(3.5h),t8(4.0h),t9(4.5h),t10(5.0h),t11(5.5h),t12(6.0h),t13(6.5h),t14(7.0h),t15(7.5h),t16(8.0h),t17(8.5h),t18(9.0h),t19(9.5h),t20(10.0h),t21(10.5h),t22(11.0h),t23(11.5h),t24(12.0h),t25(12.5h),t26(13.0h),t27(13.5h),t28(14.0h),t29(14.5h),t30(15.0h),t31(15.5h),t32(16.0h),t33(16.5h),t34(17.0h),t35(17.5h),t36(18.0h),t37(18.5h),t38(19.0h),t39(19.5h),t40(20.0h),t41(20.5h),t42(21.0h),t43(21.5h),t44(22.0h),t45(22.5h),t46(23.0h),t47(23.5h),t48(24.0h)
2021/6/1,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.493,0.574,0.600,0.512,0.424,0.336,0.249,0.161,0.073,0.027,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.049,0.220
2021/6/10,success,0.000,0.000,0.000,0.000,0.000,0.000,0.534,0.772,0.853,0.934,0.922,0.911,0.899,0.887,0.875,0.864,0.781,0.699,0.617,0.534,0.452,0.154,0.152,0.370,0.356,0.341,0.327,0.313,0.299,0.285,0.260,0.151,0.144,0.138,0.132,0.126,0.120,0.114,0.132,0.149,0.167,0.185,0.203,0.220,0.258,0.296,0.334,0.334
2021/6/11,success,0.000,0.000,0.000,0.000,0.153,0.780,0.782,0.784,0.787,0.789,0.795,0.801,0.807,0.812,0.818,0.824,0.746,0.668,0.590,0.512,0.434,0.185,0.159,0.355,0.322,0.288,0.254,0.220,0.186,0.153,0.147,0.134,0.109,0.083,0.057,0.031,0.005,0.000,0.000,0.026,0.065,0.094,0.122,0.151,0.255,0.359,0.463,0.463
2021/6/12,success,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.321,0.359,0.355,0.350,0.346,0.276,0.205,0.135,0.064,0.000,0.122,0.122,0.000,0.000,0.000,0.000,0.000,0.085,0.131,0.103,0.116,0.089,0.061,0.034,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2021/6/13,success,0.000,0.000,0.000,0.000,0.000,0.000,0.242,0.516,0.523,0.530,0.517,0.504,0.490,0.477,0.464,0.451,0.437,0.424,0.410,0.396,0.382,0.018,0.000,0.359,0.343,0.317,0.291,0.265,0.239,0.214,0.238,0.000,0.000,0.000,0.000,0.000,0.000,0.024,0.078,0.115,0.153,0.190,0.228,0.265,0.302,0.339,0.377,0.377
2021/6/14,success,0.000,0.000,0.000,0.000,0.000,0.219,0.588,0.599,0.610,0.621,0.613,0.605,0.597,0.589,0.581,0.573,0.519,0.466,0.412,0.359,0.306,0.312,0.337,0.252,0.254,0.256,0.257,0.259,0.260,0.262,0.248,0.362,0.340,0.319,0.297,0.276,0.254,0.233,0.260,0.287,0.314,0.342,0.369,0.396,0.423,0.449,0.476,0.476
2021/6/15,success,0.000,0.000,0.000,0.000,0.000,0.000,0.131,0.412,0.401,0.391,0.441,0.490,0.540,0.590,0.639,0.689,0.641,0.592,0.543,0.494,0.446,0.207,0.193,0.397,0.392,0.387,0.383,0.378,0.373,0.368,0.364,0.180,0.191,0.203,0.214,0.225,0.237,0.248,0.267,0.285,0.304,0.322,0.341,0.360,0.375,0.391,0.407,0.407
2021/6/16,success,0.000,0.000,0.000,0.000,0.142,0.707,0.725,0.744,0.762,0.780,0.787,0.795,0.802,0.809,0.816,0.824,0.776,0.729,0.682,0.635,0.588,0.350,0.346,0.541,0.524,0.507,0.490,0.473,0.456,0.440,0.416,0.341,0.348,0.354,0.361,0.367,0.374,0.381,0.422,0.462,0.503,0.544,0.585,0.626,0.634,0.641,0.648,0.648
2021/6/17,success,0.000,0.000,0.000,0.000,0.000,0.554,0.815,0.903,0.991,1.079,1.031,0.983,0.935,0.887,0.840,0.792,0.741,0.690,0.640,0.589,0.538,0.345,0.321,0.488,0.472,0.456,0.441,0.425,0.409,0.393,0.386,0.298,0.314,0.329,0.345,0.361,0.377,0.393,0.420,0.447,0.475,0.502,0.529,0.556,0.556,0.555,0.554,0.554
2021/6/18,success,0.000,0.000,0.000,0.083,0.951,0.951,0.950,0.950,0.949,0.948,0.902,0.855,0.809,0.762,0.715,0.669,0.644,0.619,0.594,0.569,0.545,0.364,0.357,0.520,0.521,0.522,0.524,0.525,0.526,0.528,0.527,0.349,0.347,0.345,0.343,0.340,0.338,0.336,0.380,0.424,0.469,0.513,0.557,0.602,0.660,0.718,0.777,0.777
2021/6/19,success,0.000,0.000,0.000,0.153,0.992,1.048,1.103,1.158,1.214,1.269,1.192,1.114,1.037,0.959,0.881,0.804,0.768,0.732,0.696,0.660,0.624,0.525,0.524,0.587,0.559,0.531,0.502,0.474,0.445,0.417,0.405,0.524,0.493,0.462,0.431,0.400,0.369,0.338,0.374,0.410,0.446,0.483,0.519,0.555,0.619,0.682,0.746,0.746
