AC_S_019 多天完整时间序列数据

"日期: 2021/6/1, 空调: AC_S_019 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.56,0.000,0.0
1.5,23.80,0.000,0.0
2.0,24.07,0.000,0.0
2.5,24.36,0.000,0.0
3.0,24.64,0.288,8.6
3.5,24.80,0.682,20.3
4.0,24.80,0.712,21.2
4.5,24.80,0.741,22.1
5.0,24.80,0.771,22.9
5.5,24.80,0.670,20.0
6.0,24.80,0.570,17.0
6.5,24.80,0.469,14.0
7.0,24.80,0.369,11.0
7.5,24.80,0.268,8.0
8.0,24.80,0.168,5.0
8.5,24.80,0.115,3.4
9.0,24.80,0.062,1.8
9.5,24.80,0.009,0.3
10.0,24.80,0.000,0.0
10.5,24.78,0.000,0.0
11.0,24.74,0.000,0.0
11.5,24.73,0.000,0.0
12.0,24.73,0.000,0.0
12.5,24.67,0.000,0.0
13.0,24.61,0.000,0.0
13.5,24.55,0.000,0.0
14.0,24.49,0.000,0.0
14.5,24.43,0.000,0.0
15.0,24.37,0.000,0.0
15.5,24.31,0.000,0.0
16.0,24.26,0.000,0.0
16.5,24.29,0.000,0.0
17.0,24.33,0.000,0.0
17.5,24.38,0.000,0.0
18.0,24.45,0.000,0.0
18.5,24.52,0.000,0.0
19.0,24.61,0.000,0.0
19.5,24.71,0.000,0.0
20.0,24.79,0.149,4.4
20.5,24.80,0.145,4.3
21.0,24.80,0.123,3.7
21.5,24.80,0.101,3.0
22.0,24.80,0.079,2.4
22.5,24.80,0.165,4.9
23.0,24.80,0.250,7.5
23.5,24.80,0.336,10.0
24.0,24.80,0.336,10.0

"日期: 2021/6/10, 空调: AC_S_019 (small), 状态: success"
时间(h),室内温度(°C),空调功率(kW),功率占比(%)
0.5,23.50,0.000,0.0
1.0,23.68,0.000,0.0
1.5,23.96,0.000,0.0
2.0,24.24,0.000,0.0
2.5,24.51,0.039,1.2
3.0,24.80,0.782,23.3
3.5,24.80,0.875,26.1
4.0,24.80,0.968,28.8
4.5,24.80,1.061,31.6
5.0,24.80,1.154,34.3
5.5,24.80,1.140,33.9
6.0,24.80,1.127,33.5
6.5,24.80,1.114,33.1
7.0,24.80,1.100,32.7
7.5,24.80,1.087,32.3
8.0,24.80,1.073,31.9
8.5,24.80,0.979,29.1
9.0,24.80,0.885,26.3
9.5,24.80,0.790,23.5
10.0,24.80,0.696,20.7
10.5,24.80,0.602,17.9
11.0,24.80,0.260,7.7
11.5,24.80,0.258,7.7
12.0,24.80,0.507,15.1
12.5,24.80,0.491,14.6
13.0,24.80,0.475,14.1
13.5,24.80,0.459,13.7
14.0,24.80,0.443,13.2
14.5,24.80,0.426,12.7
15.0,24.80,0.410,12.2
15.5,24.80,0.382,11.4
16.0,24.80,0.256,7.6
16.5,24.80,0.249,7.4
17.0,24.80,0.242,7.2
17.5,24.80,0.235,7.0
18.0,24.80,0.228,6.8
18.5,24.80,0.221,6.6
19.0,24.80,0.214,6.4
19.5,24.80,0.235,7.0
20.0,24.80,0.255,7.6
20.5,24.80,0.275,8.2
21.0,24.80,0.296,8.8
21.5,24.80,0.316,9.4
22.0,24.80,0.336,10.0
22.5,24.80,0.380,11.3
23.0,24.80,0.423,12.6
23.5,24.80,0.467,13.9
24.0,24.80,0.467,13.9

"日期: 2021/6/11, 空调: AC_S_019 (small), 状态: success"
