空调ID,空调类型,日期,状态,总能耗(kWh),平均功率(kW),最大功率(kW),额定功率(kW),温度范围(°C)
AC_S_028,small,2021/6/1,success,0.987053604,0.0411272335,0.52728231,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/10,success,6.9963728325000005,0.2915155346875,0.84741801,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/11,success,6.48403942075,0.2701683091979167,0.74222129,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/12,success,0.622827919,0.025951163291666666,0.28853338,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/13,success,4.13888335,0.17245347291666668,0.46039798,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/14,success,6.61459669,0.27560819541666665,0.54741255,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/15,success,6.18291129,0.25762130375,0.61299816,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/16,success,10.448323795,0.4353468247916667,0.74157192,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/17,success,10.375211245,0.43230046854166665,0.98573221,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/18,success,11.2646323175,0.4693596798958333,0.86321916,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/19,success,12.847902755,0.5353292814583334,1.1682031,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/2,success,3.2376660705,0.1349027529375,0.44254051,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/20,success,13.039038925,0.5432932885416667,1.114306,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/21,success,10.49253773,0.43718907208333335,0.87166087,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/22,success,1.3786359185,0.057443163270833326,0.326954,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/23,success,0.0,0.0,0.0,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/24,success,0.0,0.0,0.0,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/25,success,0.933701987,0.03890424945833333,0.26071903,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/26,success,3.5248477465,0.14686865610416666,0.36104553,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/27,success,6.572015985,0.273833999375,0.50617803,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/28,success,2.3260673005,0.09691947085416668,0.35585063,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/29,success,5.496054065,0.22900225270833333,0.40000727,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/3,success,8.699577335,0.36248238895833335,0.76754642,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/30,success,8.212853555,0.34220223145833334,0.61624497,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/4,success,2.408586745,0.10035778104166666,0.37143532,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/5,success,2.4696386962,0.10290161234166667,0.49611292,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/6,success,4.9293498714,0.20538957797500002,0.79027411,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/7,success,6.2908799828,0.26211999928333335,0.92599086,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/8,success,5.7843081124,0.24101283801666665,0.750663,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/6/9,success,2.95128877225,0.12297036551041667,0.39805919,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/1,success,9.436445715,0.393185238125,0.70618167,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/10,success,6.877872688,0.28657802866666665,0.71494806,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/11,success,6.1039844475,0.25433268531250003,0.44481328,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/12,success,9.952185029999999,0.41467437625,0.84352183,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/13,success,11.031136175,0.45963067395833335,0.83702821,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/14,success,9.2869822465,0.38695759360416665,0.93703002,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/15,success,10.67061455,0.4446089395833333,0.81105371,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/16,success,6.064597747,0.25269157279166665,0.48896993,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/17,success,4.9570767386,0.2065448641083333,0.54611383,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/18,success,3.6688001478,0.152866672825,0.5915692,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/19,success,0.0,0.0,0.0,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/2,success,10.866943715,0.45278932145833334,0.72598723,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/20,success,0.0,0.0,0.0,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/21,success,0.04260548075,0.0017752283645833334,0.05811794,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/22,success,5.706647629,0.23777698454166665,0.66689524,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/23,success,10.92120306,0.4550501275,1.0669025,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/24,success,8.776494045,0.365687251875,0.80845626,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/25,success,6.5931671165,0.2747152965208333,0.83053458,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/26,success,10.400676115,0.43336150479166663,0.8681976,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/27,success,11.4702718815,0.4779279950625,1.0831366,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/28,success,9.395824264,0.3914926776666667,0.87534059,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/29,success,7.2190540525,0.3007939188541667,0.5240355,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/3,success,9.194624705,0.38310936270833335,0.67468759,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/30,success,4.65172829797,0.19382201241541666,0.41104643,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/31,success,7.357234764499999,0.3065514485208333,0.70650635,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/4,success,9.29394676,0.3872477816666667,0.82533968,3.38,"[22.0, 25.8]"
AC_S_028,small,2021/7/5,success,7.340439882,0.30585166175,0.77793622,3.38,"[22.0, 25.8]"
