24小时空调功率需求数据
================================================================================
时间(h),室外温度(°C),室内温度(°C),目标温度(°C),所需功率(kW),功率占比(%),温度变化(°C)
0.0,28.0,23.76,23.5,0.00,0.0,+0.26
0.5,28.0,24.01,23.5,0.00,0.0,+0.25
1.0,28.0,24.24,23.5,0.00,0.0,+0.23
1.5,28.0,24.46,23.5,0.00,0.0,+0.22
2.0,28.0,24.67,23.5,0.00,0.0,+0.21
2.5,28.0,24.86,23.5,0.00,0.0,+0.19
3.0,28.0,25.00,23.5,0.41,8.3,+0.14
3.5,28.0,25.00,23.5,1.67,33.3,+0.00
4.0,28.2,25.00,23.5,1.81,36.1,+0.00
4.5,28.5,25.00,23.5,1.94,38.9,+0.00
5.0,28.8,25.00,23.5,2.08,41.7,+0.00
5.5,29.0,25.00,23.5,2.22,44.4,+0.00
6.0,29.2,25.00,23.5,2.36,47.2,+0.00
6.5,29.5,25.00,23.5,2.50,50.0,+0.00
7.0,29.8,25.00,23.5,2.64,52.8,+0.00
7.5,30.0,25.00,23.5,2.78,55.6,+0.00
8.0,30.2,25.00,23.5,2.92,58.3,+0.00
8.5,30.5,25.00,23.5,3.06,61.1,+0.00
9.0,30.8,25.00,23.5,3.19,63.9,+0.00
9.5,31.0,25.00,23.5,3.33,66.7,+0.00
10.0,31.2,25.00,23.5,3.47,69.4,+0.00
10.5,31.5,25.00,23.5,3.61,72.2,+0.00
11.0,31.8,25.00,23.5,3.75,75.0,+0.00
11.5,32.0,25.00,23.5,3.89,77.8,+0.00
12.0,31.8,25.00,23.5,3.75,75.0,+0.00
12.5,31.5,25.00,23.5,3.61,72.2,+0.00
13.0,31.2,25.00,23.5,3.47,69.4,+0.00
13.5,31.0,25.00,23.5,3.33,66.7,+0.00
14.0,30.8,25.00,23.5,3.19,63.9,+0.00
14.5,30.5,25.00,23.5,3.06,61.1,+0.00
15.0,29.8,25.00,23.5,2.64,52.8,+0.00
15.5,29.0,25.00,23.5,2.22,44.4,+0.00
16.0,28.0,25.00,23.5,1.67,33.3,+0.00
16.5,27.0,25.00,23.5,1.11,22.2,+0.00
17.0,26.5,25.00,23.5,0.83,16.7,+0.00
17.5,26.0,25.00,23.5,0.56,11.1,+0.00
18.0,26.0,25.00,23.5,0.56,11.1,+0.00
18.5,26.0,25.00,23.5,0.56,11.1,+0.00
19.0,26.5,25.00,23.5,0.83,16.7,+0.00
19.5,27.0,25.00,23.5,1.11,22.2,+0.00
20.0,27.2,25.00,23.5,1.25,25.0,+0.00
20.5,27.5,25.00,23.5,1.39,27.8,+0.00
21.0,27.8,25.00,23.5,1.53,30.6,+0.00
21.5,28.0,25.00,23.5,1.67,33.3,+0.00
22.0,28.0,25.00,23.5,1.67,33.3,+0.00
22.5,28.0,25.00,23.5,1.67,33.3,+0.00
23.0,28.0,25.00,23.5,1.67,33.3,+0.00
23.5,28.0,25.00,23.5,1.67,33.3,+0.00
